train/timesteps,train/iteration,rollout/win_vs_snapshot,rollout/mean_episode_reward,rollout/mean_race_completion,rollout/finish_rate,rollout/mean_speed,rollout/best_race_position,train/actor_loss,train/critic_loss,train/entropy,selfplay/pool_size,win_rate_roll,reward_roll,completion_roll
20004,1,0,-15.70861185193056,1.1681771278381348,0,7.276534927052346,2,-0.04064307943917811,0.04148363647982478,3.0289349257946014,1,0.0,-15.70861185193056,1.1681771278381348
40008,2,1,-21.83861001849097,1.3086774945259094,0,8.207072238959965,1,-0.03760604280978441,0.017673778696916997,3.018696367740631,1,0.5,-18.773610935210765,1.238427311182022
60012,3,1,-37.08909182190965,1.3000811338424683,0,7.68871796887097,1,-0.03317897627130151,0.02235225134063512,3.01087087392807,1,0.6666666666666666,-24.878771230777062,1.258978585402171
80016,4,0,-11.673070248365157,1.085785448551178,0,9.27003670960423,3,-0.03154021711088717,0.01915371185168624,2.994946390390396,1,0.5,-21.577345985174084,1.2156803011894226
100020,5,1,-16.100916653871316,1.3072161674499512,0,11.577142100582552,1,-0.03172040870413184,0.018246642546728253,2.9855292439460754,1,0.6,-20.48206011891353,1.2339874744415282
120024,6,0,-8.150820974111712,1.091735303401947,0,10.106732986396558,2,-0.03279123199172318,0.021565141854807734,2.9826672971248627,1,0.5,-18.426853594779896,1.2102787792682648
140028,7,0,-21.044544454812275,1.0489906072616577,0,6.506610190695362,2,-0.03425087803043425,0.017081265803426504,2.965517222881317,1,0.42857142857142855,-18.800809431927377,1.1872376118387495
160032,8,1,-23.745660511253988,1.2402673959732056,0,7.897030687216913,1,-0.033293485874310136,0.0194865302182734,2.9699632227420807,1,0.5,-19.418915816843203,1.1938663348555565
180036,9,0,-15.713216837644183,1.177756130695343,0,9.576070120848492,3,-0.033182995626702905,0.015452401363290846,2.9668580889701843,1,0.4444444444444444,-19.00717148582109,1.1920763121710882
200040,10,0,-27.73744795679971,1.2569099068641663,0,11.156526383997459,2,-0.031445642467588186,0.016003207652829587,2.9458354115486145,1,0.4,-19.880199132918953,1.1985596716403961
220044,11,0,-20.446809881925873,1.1805375218391418,0,8.251861073813716,2,-0.03068623854778707,0.01345743052661419,2.934915542602539,1,0.36363636363636365,-19.93170920101049,1.1969212943857366
240048,12,1,-36.870517753364666,1.2517959475517273,0,11.288703821006528,1,-0.03218581830151379,0.014936297666281462,2.8891172409057617,1,0.4166666666666667,-21.343276580373338,1.2014941821495693
260052,13,0,-11.214016805886798,1.280596137046814,0,8.933320199307268,2,-0.03418624959886074,0.013410688494332135,2.9252430200576782,1,0.38461538461538464,-20.56410275156668,1.2075789479108958
280056,14,0,-7.632777704000516,1.1848439574241638,0,8.875103672605352,3,-0.03451686259359121,0.013144897413440049,2.9025718569755554,1,0.35714285714285715,-19.640436676740528,1.2059550200189864
300060,15,0,-22.792818056344615,1.1473358869552612,0,9.739141850019028,1,-0.02918096201028675,0.014908101293258369,2.80999356508255,1,0.3333333333333333,-19.8505954353808,1.2020470778147379
320064,16,1,-34.27711423754828,1.4084766507148743,0,10.332643133469583,1,-0.033058969769626856,0.015475155902095139,2.7959693670272827,1,0.375,-20.75225286051627,1.2149489261209965
340068,17,0,-19.808990672826226,1.150101363658905,0,8.735400402613742,2,-0.03131575451698154,0.014723287778906524,2.7962244749069214,1,0.35294117647058826,-20.696766849475676,1.2111343636232264
360072,18,0,-17.646793705224795,1.1630407571792603,0,10.990312034212042,3,-0.03220725920982659,0.015954633941873908,2.745551496744156,1,0.3333333333333333,-20.527323897017297,1.2084624965985615
380076,19,1,-38.100446497203066,1.2583101987838745,0,4.993179262083894,1,-0.03149603516794741,0.012821639887988567,2.7423923909664154,1,0.3684210526315789,-21.452225086500757,1.2110860598714728
400080,20,0,-6.311879588365406,1.2240235805511475,0,15.682406034099294,3,-0.0334407570771873,0.013304604799486697,2.783863842487335,1,0.35,-20.69520781159399,1.2117329359054565
420084,21,0,-21.48224343657513,1.3159508109092712,0,15.771735175522476,1,-0.028420003014616668,0.01656496978830546,2.7716082632541656,1,0.35,-20.983889390826217,1.2191216200590134
440088,22,1,-35.81258245587529,1.2883830070495605,0,13.09895778534996,1,-0.03213714761659503,0.011634756694547832,2.8130996227264404,1,0.35,-21.682588012695433,1.218106895685196
