metric,value
holding_differentiation_best_minus_worst,1.5096624266144811
overtakes_total,201
miniturbo_total,10
opponent_hits,13
teamkills,7
opp_to_teamkill_ratio,1.8571428571428572
n_steps,20004
completion_mean,4.999938170115153
completion_max,4.999989986419678
finish_rate,0.0
n_episodes,6

rank,mean_item_holding_frames,n_uses,item_use_rate
1,5.232876712328767,73,0.1622222222222222
2,5.517241379310345,58,0.1518324607329843
3,4.258064516129032,62,0.19435736677115986
4,3.7232142857142856,112,0.19753086419753085
